"","parl_id","syls","parly","gender","name","wikidataid","constituency","region","msp_type","office_held"
"1",1741,131972,"1st","F","Annabel Goldie","Q544742",NA,"West of Scotland","Region",NA
"2",1751,57154,"1st","F","Cathie Craigie","Q544715","Cumbernauld and Kilsyth","Central Scotland","Constituency",NA
"3",1752,208303,"1st","F","Cathy Jamieson","Q727460","Carrick, Cumnock and Doon Valley","South of Scotland","Constituency",NA
"4",1752,208303,"1st","F","Cathy Jamieson","Q727460","Carrick, Cumnock and Doon Valley","South of Scotland","Constituency","The Minister for Education and Young People"
"5",1754,58450,"1st","F","Cathy Peattie","Q1051152","Falkirk East","Central Scotland","Constituency",NA
"6",1756,189063,"1st","F","Christine Grahame","Q467108",NA,"South of Scotland","Region",NA
"7",1762,91893,"1st","F","Dorothy-Grace Elder","Q1168523",NA,"Glasgow","Region",NA
"8",1768,104226,"1st","F","Elaine Murray","Q1324826","Dumfries","South of Scotland","Constituency",NA
"9",1768,104226,"1st","F","Elaine Murray","Q1324826","Dumfries","South of Scotland","Constituency","The Deputy Minister for Tourism, Culture and Sport"
"10",1769,64475,"1st","F","Elaine Smith","Q305347","Coatbridge and Chryston","Central Scotland","Constituency",NA
"11",1770,79913,"1st","F","Elaine Thomson","Q1324835","Aberdeen North","North East Scotland","Constituency",NA
"12",1770,79913,"1st","F","Elaine Thomson","Q1324835","Aberdeen North","North East Scotland","Constituency","The Ministerial Parliamentary Aide to the Minister for Enterprise, Transport and Lifelong Learning"
"13",1773,164165,"1st","F","Fiona Hyslop","Q1418512",NA,"Lothians","Region",NA
"14",1775,83686,"1st","F","Fiona McLeod","Q1418528",NA,"West of Scotland","Region",NA
"15",1778,42691,"1st","F","Helen Eadie","Q1396732","Dunfermline East","Mid Scotland and Fife","Constituency",NA
"16",1781,136047,"1st","F","Irene McGugan","Q1672546",NA,"North East Scotland","Region",NA
"17",1782,48631,"1st","F","Irene Oldfather","Q1672558","Cunninghame South","South of Scotland","Constituency",NA
"18",1783,160804,"1st","F","Jackie Baillie","Q544729","Dumbarton","West of Scotland","Constituency","The Deputy Minister for Communities"
"19",1783,160804,"1st","F","Jackie Baillie","Q544729","Dumbarton","West of Scotland","Constituency","The Minister for Social Justice"
"20",1783,160804,"1st","F","Jackie Baillie","Q544729","Dumbarton","West of Scotland","Constituency",NA
"21",1791,44693,"1st","F","Janis Hughes","Q780646","Glasgow Rutherglen","Glasgow","Constituency",NA
"22",1791,44693,"1st","F","Janis Hughes","Q780646","Glasgow Rutherglen","Glasgow","Constituency","The Ministerial Parliamentary Aide to the Minister for Tourism, Culture and Sport"
