,Unnamed: 0,parl_id,syls,parly,gender,name,wikidataid,county,constituency,region,msp_type,office_held,year_born,age
0,1,1741,131972,1st,F,Annabel Goldie,Q544742,,,West of Scotland,Region,,1950,71
1,2,1751,57154,1st,F,Cathie Craigie,Q544715,North Lanarkshire,Cumbernauld and Kilsyth,Central Scotland,Constituency,,1954,67
2,3,1752,208303,1st,F,Cathy Jamieson,Q727460,East Ayrshire,"Carrick, Cumnock and Doon Valley",South of Scotland,Constituency,,1956,65
3,4,1752,208303,1st,F,Cathy Jamieson,Q727460,East Ayrshire,"Carrick, Cumnock and Doon Valley",South of Scotland,Constituency,The Minister for Education and Young People,1956,65
4,5,1754,58450,1st,F,Cathy Peattie,Q1051152,Falkirk,Falkirk East,Central Scotland,Constituency,,1951,70
5,6,1756,189063,1st,F,Christine Grahame,Q467108,,,South of Scotland,Region,,1944,77
6,7,1762,91893,1st,F,Dorothy-Grace Elder,Q1168523,,,Glasgow,Region,,1942,79
7,8,1768,104226,1st,F,Elaine Murray,Q1324826,Dumfries and Galloway,Dumfries,South of Scotland,Constituency,,1954,67
8,9,1768,104226,1st,F,Elaine Murray,Q1324826,Dumfries and Galloway,Dumfries,South of Scotland,Constituency,"The Deputy Minister for Tourism, Culture and Sport",1954,67
9,10,1769,64475,1st,F,Elaine Smith,Q305347,North Lanarkshire,Coatbridge and Chryston,Central Scotland,Constituency,,1963,58
10,11,1770,79913,1st,F,Elaine Thomson,Q1324835,Aberdeen City,Aberdeen North,North East Scotland,Constituency,,1957,64
11,12,1770,79913,1st,F,Elaine Thomson,Q1324835,Aberdeen City,Aberdeen North,North East Scotland,Constituency,"The Ministerial Parliamentary Aide to the Minister for Enterprise, Transport and Lifelong Learning",1957,64
12,13,1773,164165,1st,F,Fiona Hyslop,Q1418512,,,Lothians,Region,,1964,57
13,14,1775,83686,1st,F,Fiona McLeod,Q1418528,,,West of Scotland,Region,,1957,64
14,15,1778,42691,1st,F,Helen Eadie,Q1396732,Fife,Dunfermline East,Mid Scotland and Fife,Constituency,,1947,74
15,16,1781,136047,1st,F,Irene McGugan,Q1672546,,,North East Scotland,Region,,1952,69
16,17,1782,48631,1st,F,Irene Oldfather,Q1672558,North Ayrshire,Cunninghame South,South of Scotland,Constituency,,1954,67
17,18,1783,160804,1st,F,Jackie Baillie,Q544729,West Dunbartonshire,Dumbarton,West of Scotland,Constituency,The Deputy Minister for Communities,1964,57
18,19,1783,160804,1st,F,Jackie Baillie,Q544729,West Dunbartonshire,Dumbarton,West of Scotland,Constituency,The Minister for Social Justice,1964,57
19,20,1783,160804,1st,F,Jackie Baillie,Q544729,West Dunbartonshire,Dumbarton,West of Scotland,Constituency,,1964,57
